,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
122,2025,Matchweek 10,Juventus,Parma,Home,40809,4-3-3,4-2-3-1,2.4,1.2,61,24,4,16,0,0,0,2,2,D
123,2025,Matchweek 11,Juventus,Udinese,Away,24990,4-2-3-1,3-5-2,1.3,0.6,61,11,5,15.3,1,0,0,2,0,W
124,2025,Matchweek 12,Juventus,Torino,Home,41066,4-2-3-1,3-5-2,1.7,0.4,54,13,4,18.1,0,0,0,2,0,W
125,2025,Matchweek 13,Juventus,Milan,Away,75502,4-2-2-2,4-3-3,0.4,0.3,56,7,2,18.9,0,0,0,0,0,D
126,2025,Matchweek 14,Juventus,Lecce,Away,27080,4-2-3-1,4-2-3-1,1.3,1.5,61,14,3,22.2,0,0,0,1,1,D
127,2025,Matchweek 15,Juventus,Bologna,Home,40748,4-2-3-1,4-2-3-1,1,0.9,54,10,3,16.8,0,0,0,2,2,D
128,2025,Matchweek 16,Juventus,Venezia,Home,38425,4-2-3-1,3-4-3,2.1,0.4,69,11,3,17.7,1,1,1,2,2,D
129,2025,Matchweek 17,Juventus,Monza,Away,15479,4-2-3-1,3-4-3,1.8,1.3,55,16,9,14.6,0,0,0,2,1,W
130,2025,Matchweek 18,Juventus,Fiorentina,Home,41188,4-2-3-1,4-2-3-1,1.5,1,62,15,5,14.1,0,0,0,2,2,D
131,2025,Matchweek 20,Juventus,Torino,Away,27014,4-2-3-1,4-4-2,0.9,0.6,59,15,9,19.2,0,0,0,1,1,D
132,2025,Matchweek 19,Juventus,Atalanta,Away,22920,4-2-3-1,3-4-1-2,1.5,1.4,40,17,8,14.5,0,0,0,1,1,D
133,2025,Matchweek 21,Juventus,Milan,Home,41507,4-2-3-1,4-3-3,1.1,0.9,60,15,6,17.9,0,0,0,2,0,W
